image,count_a,count_b,matched,coverage,mean_iou,count_delta
component0/component0_with_bg_2.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
component0/component0_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component1/component1_with_bg_2.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
component1/component1_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component1/component1_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component2/component2_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component2/component2_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component2/component2_with_bg_4.png,1.0000,2.0000,1.0000,0.5000,0.9934,1.0000
component2/component2_with_bg_5.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
component3/component3_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component3/component3_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
component4/component4_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component4/component4_with_bg_2.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
component4/component4_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component4/component4_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component4/component4_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component5/component5_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component5/component5_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component5/component5_with_bg_4.png,1.0000,1.0000,1.0000,1.0000,0.9643,0.0000
component6/component6_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component6/component6_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component6/component6_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component6/component6_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component7/component7_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component7/component7_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component7/component7_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component8/component8_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component8/component8_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component8/component8_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component8/component8_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component9/component9_with_bg_0.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
component9/component9_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
component9/component9_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_0/Component_0_with_bg_0.png,2.0000,2.0000,2.0000,1.0000,0.9784,0.0000
Component_0/Component_0_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_0/Component_0_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_0/Component_0_with_bg_3.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_0/Component_0_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_1/Component_1_with_bg_0.png,2.0000,1.0000,1.0000,0.5000,0.7577,1.0000
Component_1/Component_1_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_1/Component_1_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_1/Component_1_with_bg_3.png,1.0000,1.0000,1.0000,1.0000,0.9909,0.0000
Component_1/Component_1_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_10/Component_10_with_bg_0.png,3.0000,3.0000,2.0000,0.6667,0.7469,0.0000
Component_10/Component_10_with_bg_1.png,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000
Component_10/Component_10_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_10/Component_10_with_bg_3.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_10/Component_10_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_10/Component_10_with_bg_5.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_100/Component_100_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_100/Component_100_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_100/Component_100_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_101/Component_101_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_101/Component_101_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_101/Component_101_with_bg_5.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_102/Component_102_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_102/Component_102_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_102/Component_102_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
