image,count_a,count_b,matched,coverage,mean_iou,count_delta
pair_00_orbit_00,1.0000,2.0000,0.0000,0.0000,0.0000,1.0000
pair_01_orbit_01,3.0000,2.0000,2.0000,0.6667,0.9885,1.0000
pair_02_orbit_02,1.0000,1.0000,1.0000,1.0000,0.9499,0.0000
pair_03_orbit_03,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
pair_04_orbit_04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
pair_05_orbit_05,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
pair_06_orbit_06,1.0000,1.0000,1.0000,1.0000,0.9939,0.0000
pair_07_orbit_07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
pair_08_orbit_08,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
pair_09_orbit_09,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
