image,psnr,ssim,lpips
component0/component0_with_bg_2.png,19.2614,0.8145,0.3073
component0/component0_with_bg_5.png,17.1584,0.7676,0.3093
component1/component1_with_bg_2.png,16.1700,0.7488,0.3167
component1/component1_with_bg_3.png,17.5873,0.8112,0.1742
component1/component1_with_bg_5.png,16.3250,0.7642,0.2984
component2/component2_with_bg_2.png,16.9183,0.7833,0.2923
component2/component2_with_bg_3.png,19.0422,0.8326,0.1170
component2/component2_with_bg_4.png,21.5413,0.6537,0.1765
component2/component2_with_bg_5.png,17.2556,0.7748,0.2758
component3/component3_with_bg_2.png,16.8830,0.7742,0.3047
component3/component3_with_bg_5.png,17.1295,0.8064,0.2804
component4/component4_with_bg_0.png,17.8912,0.7152,0.3166
component4/component4_with_bg_2.png,16.0009,0.7580,0.3083
component4/component4_with_bg_3.png,19.3992,0.8524,0.2504
component4/component4_with_bg_4.png,20.3198,0.9423,0.2794
component4/component4_with_bg_5.png,19.9751,0.9013,0.1707
component5/component5_with_bg_0.png,15.6725,0.5703,0.3935
component5/component5_with_bg_3.png,17.9902,0.7469,0.2218
component5/component5_with_bg_4.png,20.9627,0.6141,0.2151
component6/component6_with_bg_0.png,12.9848,0.7872,0.2403
component6/component6_with_bg_2.png,24.7102,0.9790,0.0230
component6/component6_with_bg_3.png,27.3886,0.9852,0.0788
component6/component6_with_bg_5.png,21.6808,0.9674,0.0447
component7/component7_with_bg_0.png,12.9453,0.7801,0.2448
component7/component7_with_bg_2.png,19.8415,0.8342,0.1363
component7/component7_with_bg_3.png,27.4330,0.9852,0.0780
component8/component8_with_bg_0.png,12.6158,0.7773,0.2467
component8/component8_with_bg_2.png,23.2358,0.9788,0.0322
component8/component8_with_bg_3.png,26.7669,0.9843,0.0785
component8/component8_with_bg_5.png,20.9069,0.9654,0.0592
component9/component9_with_bg_0.png,21.2593,0.7913,0.1464
component9/component9_with_bg_1.png,20.8598,0.9310,0.1196
component9/component9_with_bg_2.png,13.2720,0.6031,0.4728
Component_0/Component_0_with_bg_0.png,21.6024,0.7126,0.2554
Component_0/Component_0_with_bg_1.png,20.1958,0.9007,0.1945
Component_0/Component_0_with_bg_2.png,28.9150,0.8169,0.3074
Component_0/Component_0_with_bg_3.png,20.5946,0.7176,0.2580
Component_0/Component_0_with_bg_5.png,23.4235,0.7489,0.3526
Component_1/Component_1_with_bg_0.png,21.6451,0.7064,0.2633
Component_1/Component_1_with_bg_1.png,19.5681,0.7681,0.3243
Component_1/Component_1_with_bg_2.png,28.4138,0.9010,0.2826
Component_1/Component_1_with_bg_3.png,21.3706,0.7196,0.2591
Component_1/Component_1_with_bg_5.png,24.7006,0.8567,0.3156
Component_10/Component_10_with_bg_0.png,15.2842,0.5656,0.2816
Component_10/Component_10_with_bg_1.png,18.0638,0.7540,0.2516
Component_10/Component_10_with_bg_2.png,102.4444,1.0000,0.0000
Component_10/Component_10_with_bg_3.png,35.3676,0.8944,0.0969
Component_10/Component_10_with_bg_4.png,30.8076,0.8211,0.1689
Component_10/Component_10_with_bg_5.png,33.2510,0.8404,0.1469
Component_100/Component_100_with_bg_0.png,11.1255,0.0490,0.4816
Component_100/Component_100_with_bg_3.png,10.4229,0.0799,0.4602
Component_100/Component_100_with_bg_5.png,20.1920,0.1293,0.1746
Component_101/Component_101_with_bg_0.png,10.7543,0.0743,0.5068
Component_101/Component_101_with_bg_3.png,10.4526,0.1069,0.4763
Component_101/Component_101_with_bg_5.png,19.7816,0.1376,0.2157
Component_102/Component_102_with_bg_0.png,10.4595,0.0821,0.5050
Component_102/Component_102_with_bg_2.png,17.8517,0.1903,0.2719
Component_102/Component_102_with_bg_3.png,10.1521,0.1036,0.4756
Component_102/Component_102_with_bg_5.png,18.8117,0.1287,0.2242
Component_103/Component_103_with_bg_0.png,9.8462,0.0460,0.5110
Component_103/Component_103_with_bg_3.png,9.5344,0.0887,0.4815
Component_103/Component_103_with_bg_4.png,13.6454,0.7033,0.2755
Component_104/Component_104_with_bg_0.png,9.2187,0.0516,0.5160
Component_104/Component_104_with_bg_2.png,17.5182,0.1508,0.2867
Component_104/Component_104_with_bg_3.png,9.4336,0.0902,0.4729
Component_104/Component_104_with_bg_4.png,15.0555,0.7386,0.2327
Component_104/Component_104_with_bg_5.png,18.4375,0.1040,0.2188
Component_105/Component_105_with_bg_0.png,13.6157,0.5542,0.3098
Component_105/Component_105_with_bg_1.png,14.9868,0.6986,0.3093
Component_105/Component_105_with_bg_3.png,9.2377,0.5886,0.3008
Component_105/Component_105_with_bg_4.png,11.7360,0.6055,0.2821
Component_105/Component_105_with_bg_5.png,15.1828,0.7398,0.2215
Component_106/Component_106_with_bg_0.png,13.3364,0.5457,0.3006
Component_106/Component_106_with_bg_1.png,15.1665,0.6982,0.3229
Component_106/Component_106_with_bg_3.png,13.7609,0.4645,0.3214
Component_106/Component_106_with_bg_4.png,11.8895,0.6227,0.3731
Component_106/Component_106_with_bg_5.png,17.0947,0.8260,0.1722
Component_107/Component_107_with_bg_0.png,13.6161,0.5562,0.3151
