image,pixel_agreement,miou_proxy
component0/component0_with_bg_2.png,1.0000,1.0000
component0/component0_with_bg_5.png,1.0000,1.0000
component1/component1_with_bg_2.png,1.0000,1.0000
component1/component1_with_bg_3.png,1.0000,1.0000
component1/component1_with_bg_5.png,1.0000,1.0000
component2/component2_with_bg_2.png,1.0000,1.0000
component2/component2_with_bg_3.png,1.0000,1.0000
component2/component2_with_bg_4.png,1.0000,1.0000
component2/component2_with_bg_5.png,1.0000,1.0000
component3/component3_with_bg_2.png,1.0000,1.0000
component3/component3_with_bg_5.png,1.0000,1.0000
component4/component4_with_bg_0.png,0.9873,0.4936
component4/component4_with_bg_2.png,1.0000,1.0000
component4/component4_with_bg_3.png,0.9043,0.4521
component4/component4_with_bg_4.png,1.0000,1.0000
component4/component4_with_bg_5.png,1.0000,1.0000
component5/component5_with_bg_0.png,0.9898,0.4949
component5/component5_with_bg_3.png,1.0000,1.0000
component5/component5_with_bg_4.png,1.0000,1.0000
component6/component6_with_bg_0.png,0.9977,0.4988
component6/component6_with_bg_2.png,1.0000,1.0000
component6/component6_with_bg_3.png,1.0000,1.0000
component6/component6_with_bg_5.png,1.0000,1.0000
component7/component7_with_bg_0.png,0.9992,0.4996
component7/component7_with_bg_2.png,1.0000,1.0000
component7/component7_with_bg_3.png,1.0000,1.0000
component8/component8_with_bg_0.png,1.0000,1.0000
component8/component8_with_bg_2.png,1.0000,1.0000
component8/component8_with_bg_3.png,1.0000,1.0000
component8/component8_with_bg_5.png,1.0000,1.0000
component9/component9_with_bg_0.png,0.9935,0.6256
component9/component9_with_bg_1.png,0.9791,0.3264
component9/component9_with_bg_2.png,0.9922,0.3307
Component_0/Component_0_with_bg_0.png,1.0000,1.0000
Component_0/Component_0_with_bg_1.png,1.0000,1.0000
Component_0/Component_0_with_bg_2.png,1.0000,1.0000
Component_0/Component_0_with_bg_3.png,1.0000,1.0000
Component_0/Component_0_with_bg_5.png,1.0000,1.0000
Component_1/Component_1_with_bg_0.png,1.0000,1.0000
Component_1/Component_1_with_bg_1.png,1.0000,1.0000
Component_1/Component_1_with_bg_2.png,1.0000,1.0000
Component_1/Component_1_with_bg_3.png,0.9989,0.4994
Component_1/Component_1_with_bg_5.png,1.0000,1.0000
Component_10/Component_10_with_bg_0.png,0.9857,0.3286
Component_10/Component_10_with_bg_1.png,0.9740,0.3500
Component_10/Component_10_with_bg_2.png,1.0000,0.9875
Component_10/Component_10_with_bg_3.png,0.9418,0.3157
Component_10/Component_10_with_bg_4.png,0.9447,0.3230
Component_10/Component_10_with_bg_5.png,0.9923,0.4961
Component_100/Component_100_with_bg_0.png,0.9925,0.3308
Component_100/Component_100_with_bg_3.png,0.9783,0.4892
Component_100/Component_100_with_bg_5.png,0.9601,0.4800
Component_101/Component_101_with_bg_0.png,0.9734,0.3245
Component_101/Component_101_with_bg_3.png,0.7906,0.1977
Component_101/Component_101_with_bg_5.png,0.8137,0.2712
Component_102/Component_102_with_bg_0.png,0.9749,0.3250
Component_102/Component_102_with_bg_2.png,0.9929,0.3310
Component_102/Component_102_with_bg_3.png,0.7855,0.2630
Component_102/Component_102_with_bg_5.png,0.9131,0.3044
Component_103/Component_103_with_bg_0.png,0.8429,0.2810
Component_103/Component_103_with_bg_3.png,0.5442,0.2721
Component_103/Component_103_with_bg_4.png,1.0000,1.0000
Component_104/Component_104_with_bg_0.png,0.9652,0.4826
Component_104/Component_104_with_bg_2.png,0.9878,0.2469
Component_104/Component_104_with_bg_3.png,0.9633,0.4817
Component_104/Component_104_with_bg_4.png,1.0000,1.0000
Component_104/Component_104_with_bg_5.png,0.9879,0.4939
Component_105/Component_105_with_bg_0.png,0.9829,0.3942
Component_105/Component_105_with_bg_1.png,1.0000,1.0000
Component_105/Component_105_with_bg_3.png,1.0000,1.0000
Component_105/Component_105_with_bg_4.png,1.0000,1.0000
Component_105/Component_105_with_bg_5.png,1.0000,1.0000
Component_106/Component_106_with_bg_0.png,0.9994,0.4997
Component_106/Component_106_with_bg_1.png,0.9850,0.3287
Component_106/Component_106_with_bg_3.png,1.0000,1.0000
Component_106/Component_106_with_bg_4.png,1.0000,1.0000
Component_106/Component_106_with_bg_5.png,1.0000,1.0000
Component_107/Component_107_with_bg_0.png,0.9832,0.5874
Component_107/Component_107_with_bg_1.png,1.0000,1.0000
Component_107/Component_107_with_bg_3.png,1.0000,1.0000
Component_107/Component_107_with_bg_4.png,0.9998,0.4999
Component_107/Component_107_with_bg_5.png,1.0000,1.0000
Component_108/Component_108_with_bg_0.png,0.9912,0.3304
Component_108/Component_108_with_bg_1.png,1.0000,1.0000
Component_108/Component_108_with_bg_3.png,1.0000,1.0000
Component_108/Component_108_with_bg_4.png,1.0000,1.0000
Component_109/Component_109_with_bg_0.png,0.9793,0.4896
Component_109/Component_109_with_bg_4.png,1.0000,0.5000
Component_109/Component_109_with_bg_5.png,0.9372,0.6117
Component_11/Component_11_with_bg_0.png,1.0000,1.0000
Component_11/Component_11_with_bg_1.png,0.5658,0.1937
Component_11/Component_11_with_bg_2.png,1.0000,1.0000
Component_11/Component_11_with_bg_3.png,0.7943,0.3971
Component_11/Component_11_with_bg_4.png,0.9969,0.4062
Component_11/Component_11_with_bg_5.png,0.9998,0.3333
Component_110/Component_110_with_bg_0.png,0.9786,0.3262
Component_110/Component_110_with_bg_1.png,0.9980,0.4990
Component_110/Component_110_with_bg_3.png,0.9978,0.5552
Component_110/Component_110_with_bg_4.png,0.8660,0.2165
Component_110/Component_110_with_bg_5.png,0.9388,0.3731
Component_111/Component_111_with_bg_0.png,0.9825,0.3276
